episode,agent,depth,win,max_tile,moves,duration_sec,grid_sum
1,expectimax,3,False,256,391,55.8755,866.00
2,expectimax,3,False,1024,875,169.3733,1912.00
3,expectimax,3,False,256,422,67.3370,912.00
4,expectimax,3,False,1024,881,121.3778,1936.00
5,expectimax,3,False,1024,897,117.1596,1990.00
6,expectimax,3,False,1024,839,119.9914,1850.00
7,expectimax,3,False,512,505,81.1969,1120.00
8,expectimax,3,False,512,709,90.2618,1568.00
9,expectimax,3,False,512,844,112.5023,1852.00
10,expectimax,3,False,1024,843,116.4073,1860.00
