episode,agent,depth,win,max_tile,moves,duration_sec,grid_sum
1,expectimax,3,False,512,624,104.8219,1370.00
2,expectimax,3,False,1024,745,137.6982,1654.00
3,expectimax,3,False,512,714,120.3762,1568.00
4,expectimax,3,False,512,498,107.0652,1112.00
5,expectimax,3,False,1024,950,151.7029,2112.00
6,expectimax,3,False,512,710,120.8645,1572.00
7,expectimax,3,False,256,369,79.0293,824.00
8,expectimax,3,False,512,757,201.5534,1662.00
9,expectimax,3,False,256,506,137.1069,1104.00
10,expectimax,3,False,256,380,113.4397,830.00
