episode,agent,depth,win,max_tile,moves,duration_sec,grid_sum
1,expectimax,3,False,256,411,100.2264,898.00
2,expectimax,3,False,512,492,144.1081,1088.00
3,expectimax,3,False,512,773,114.8932,1716.00
4,expectimax,3,False,1024,758,129.2069,1712.00
5,expectimax,3,False,512,643,106.9960,1430.00
6,expectimax,3,False,512,501,87.7583,1116.00
7,expectimax,3,False,512,736,84.4010,1616.00
8,expectimax,3,False,256,436,77.2091,966.00
9,expectimax,3,False,512,555,82.0409,1196.00
10,expectimax,3,False,512,559,83.0213,1220.00
