episode,agent,depth,win,max_tile,moves,duration_sec,grid_sum
1,random,,False,256,217,1.0668,486.00
2,random,,False,64,107,0.0773,244.00
3,random,,False,256,181,0.1745,408.00
4,random,,False,32,66,0.1178,148.00
5,random,,False,64,85,0.0743,188.00
6,random,,False,64,91,0.0814,208.00
7,random,,False,64,94,0.0917,210.00
8,random,,False,32,72,0.0863,158.00
9,random,,False,32,78,0.0712,178.00
10,random,,False,256,204,0.1482,462.00
